player_name,team_2026
Veer Pratap Singh,Kolkata Knight Riders
Venkata Satyanarayana Penmetsa,Mumbai Indians
Venkatesh Iyer,Royal Challengers Bengaluru
Venugopal Rao,Sunrisers Hyderabad
Vicky Ostwal,Royal Challengers Bengaluru
Vidwath Kaverappa,Punjab Kings
Vignesh Puthur,Rajasthan Royals
Vihaan Malhotra,Royal Challengers Bengaluru
Vijay Shankar,Chennai Super Kings
Vijay Zol,Royal Challengers Bengaluru
Vikas Tokas,Royal Challengers Bengaluru
Vikramjeet Malik,Royal Challengers Bengaluru
Vipraj Nigam,Delhi Capitals
Virat Singh,Sunrisers Hyderabad
Virender Sehwag,Kings XI Punjab
Vishal Nishad,Punjab Kings
Vishnu Vinod,Punjab Kings
Vishwanath Pratap Singh,Punjab Kings
Vivrant Sharma,Sunrisers Hyderabad
Vyshak Vijaykumar,Punjab Kings
Wanindu Hasaranga,Lucknow Super Giants
Washington Sundar,Gujarat Titans
Wayne Parnell,Delhi Daredevils
Will Jacks,Mumbai Indians
Wriddhiman  Saha,Gujarat Titans
Wriddhiman Saha,Sunrisers Hyderabad
Writtick Chatterjee,Punjab Kings
Xavier Bartlett,Punjab Kings
Yash  Dayal,Royal Challengers Bengaluru
Yash Dhull,Delhi Capitals
Yash Raj Punja,Rajasthan Royals
Yash Thakur,Punjab Kings
Yashasvi Jaiswal,Rajasthan Royals
Yogesh Gowalkar,Kings XI Punjab
Yogesh Takawale,Royal Challengers Bengaluru
Yudhvir Charak,Rajasthan Royals
Yusuf Pathan,Sunrisers Hyderabad
Yuvraj Chaudhary,Lucknow Super Giants
Yuvraj Singh,Mumbai Indians
Yuzvendra Chahal,Punjab Kings
Yuzvendra Singh Chahal,Royal Challengers Bengaluru
Zaheer Khan,Delhi Daredevils
Zahir Khan Pakteen,Rajasthan Royals
Zak Foulkes,Chennai Super Kings
Zeeshan Ansari,Sunrisers Hyderabad
